SNPnames	Corr.All	FST.All	s_high	demog	p.end	SNPIncluded	He.LS	He_samp	log.bf	rho	xtx	xtx.empP	bf.empP	rho.empP	TW.Zscore	TW.MinusLogP	TW.P
1364503540_229	-0.512239538	0.051587854	0	1R	0.624613385	TRUE	0.468943009	0.4608	-1.076766347	-0.049164	92.737	0.405151515	0.683333333	0.052626263	2.4942	1.8988	0.012624
1364712676_172	0.134070531	0.025164073	0	1R	0.789688753	TRUE	0.332160852	0.332443827	-1.238463052	-0.027994	90.725	0.27	0.415858586	0.107878788	0.255718	0.0979055	0.798168
1364607816_874	0.012676218	0.058735127	0	1R	0.752670089	TRUE	0.372315652	0.385332716	-1.285578025	0.03341	108.93	0.97	0.280808081	0.495151515	1.02477	0.515031	0.305471
1364585005_654	0.180642209	0.063124084	0	1R	0.724826326	TRUE	0.398906246	0.392145679	-1.301829834	0.010111	95.172	0.566868687	0.229393939	0.310909091	0.127158	0.0463294	0.898816
1364615682_191	0.467113526	0.061709119	0	1R	0.764335274	TRUE	0.360253726	0.366527778	-1.296021175	-0.014307	100.36	0.822626263	0.246868687	0.164545455	1.03646	0.522893	0.29999
1364500431_884	0.43227067	0.053734741	0	1R	0.880440364	TRUE	0.210530259	0.231111111	-0.960030973	0.035209	97.884	0.71979798	0.783737374	0.511111111	1.96083	1.30191	0.0498989
1364582776_418	0.215285831	0.064711157	0	1R	0.393403745	TRUE	0.477274477	0.46902716	-1.188559056	0.029232	92.993	0.423939394	0.524040404	0.462626263	0.383128	0.153895	0.701625
1364520788_963	-0.302216697	0.065713868	0	1R	0.144941062	TRUE	0.2478663	0.239999383	-1.362600341	0.099351	98.548	0.748787879	0.068282828	0.907474747	1.01915	0.511262	0.308133
1364487553_960	-0.032272845	0.051246565	0	1R	0.350227195	TRUE	0.455136214	0.466488272	-1.089386266	-0.01947	103.34	0.899191919	0.668787879	0.142020202	0.900942	0.434602	0.367619
1364562162_325	0.366256366	0.035223622	0	1R	0.148745964	TRUE	0.253241205	0.242397531	-1.282570839	0.064583	87.179	0.097979798	0.290808081	0.738383838	0.550545	0.235118	0.581946
1364615806_378	-0.177132759	0.07997867	0	1R	0.648556234	TRUE	0.455862091	0.445182716	-1.119083561	0.019701	97.933	0.722828283	0.631818182	0.382020202	0.152841	0.0562466	0.878523
1364532155_19	-0.03223981	0.032338479	0	1R	0.621780973	TRUE	0.470338789	0.46355	-1.298829365	-0.042088	93.777	0.475959596	0.236868687	0.066868687	0.457513	0.188893	0.647302
1364568926_591	0.091320187	0.02595501	0	1R	0.799699007	TRUE	0.320361011	0.30155	-1.253700601	0.03974	92.926	0.417979798	0.373636364	0.548888889	0.108141	0.0391091	0.913884
1364539153_452	-0.382437519	0.038431625	0	1R	0.730572728	TRUE	0.393672435	0.410864198	-1.291273247	-0.026991	92.894	0.415959596	0.261212121	0.111616162	1.9178	1.25856	0.0551362
1364564890_764	0.512858454	0.050155843	0	1R	0.952416785	TRUE	0.090638105	0.1128	-1.340997063	0.02462	90.363	0.248383838	0.115050505	0.423939394	0.500617	0.209968	0.61664
1364536464_969	0.09584332	0.037350472	0	1R	0.271132453	TRUE	0.395239292	0.409451235	-0.935242601	0.091689	87.821	0.121010101	0.799393939	0.87979798	0.179603	0.0667838	0.857465
1364544867_704	-0.070559376	0.179863728	0	1R	0.422568916	TRUE	0.488008855	0.484784568	-1.195111255	0.029732	115.44	0.994343434	0.510505051	0.465555556	1.0208	0.512368	0.307349
1364588054_773	0.457192703	0.042924887	0	1R	0.085941254	TRUE	0.15711071	0.14063642	-0.96405022	-0.056569	93.168	0.435656566	0.781111111	0.039090909	0.826362	0.388703	0.408599
1364564058_515	-0.112187742	0.039939437	0	1R	0.612258134	TRUE	0.474796223	0.4758	-1.368606969	-0.0029126	89.791	0.216161616	0.059090909	0.227676768	0.720184	0.3266	0.471412
1364692914_58	-0.464154384	0.06866012	0	1R	0.816789616	TRUE	0.299288679	0.309861111	-1.397972582	-0.0058789	109.58	0.975050505	0.01959596	0.208989899	2.35306	1.73003	0.0186195
1364518236_378	-0.183751179	0.020561511	0	1R	0.557261256	TRUE	0.493442297	0.489080864	-0.751193296	0.062684	95.541	0.588484848	0.886565657	0.722727273	0.0695905	0.024789	0.94452
1364502791_640	-0.275669222	0.034472734	0	1R	0.534270229	TRUE	0.497651103	0.4928	-1.042555544	0.050327	93.564	0.461111111	0.717878788	0.633434343	0.0396759	0.013967	0.968352
1364502244_386	0.031859112	0.084585044	0	1R	0.093811734	TRUE	0.170022186	0.186191975	-0.927860437	0.02517	106.74	0.950909091	0.804242424	0.427676768	1.16953	0.615843	0.242191
1364595710_879	-0.006038488	0.0385428	0	1R	0.641783953	TRUE	0.459794622	0.464444444	-0.776296436	0.090838	94.132	0.49959596	0.877979798	0.876262626	0.481809	0.2007	0.629942
1364532109_657	-0.411008472	0.029701989	0	1R	0.130104772	TRUE	0.226355041	0.222073457	-1.388382889	0.050138	95.999	0.619292929	0.03020202	0.632323232	0.134024	0.0489621	0.893383
1364560226_879	-0.261010744	0.048023546	0	1R	0.289627639	TRUE	0.411486939	0.42088642	-1.068333677	0.11127	94.483	0.524343434	0.692121212	0.940707071	0.525548	0.222426	0.599202
1364538308_65	0.368309616	0.079833845	0	1R	0.078323604	TRUE	0.144378034	0.104938272	-0.978108126	0.11657	91.574	0.326060606	0.77020202	0.952222222	1.10022	0.56665	0.271238
1364579529_913	0.303784195	0.064525886	0	1R	0.369973145	TRUE	0.466186034	0.456323457	-0.719148574	0.14093	107.3	0.957272727	0.898181818	0.983232323	1.9162	1.25697	0.0553393
1364604353_612	0.276810708	0.048360719	0	1R	0.810795826	TRUE	0.306811909	0.329212346	-0.314204538	0.074603	96.477	0.647373737	0.968080808	0.796868687	1.22557	0.656865	0.220361
1364597339_633	0.222946446	0.045399401	0	1R	0.651792495	TRUE	0.453918077	0.454666049	-1.055088181	0.02771	94.26	0.50979798	0.705656566	0.449393939	0.493071	0.206236	0.621963
1364648982_667	-0.04338061	0.093900317	0	1R	0.517941648	TRUE	0.499356195	0.497061111	-0.261203592	0.067654	111.86	0.985454545	0.972727273	0.757979798	0.0700753	0.0249665	0.944134
1364548017_797	0.016201968	0.033366706	0	1R	0.947410194	TRUE	0.099648236	0.109861111	-1.43631724	-0.068181	87.576	0.112222222	0.002121212	0.026060606	0.168012	0.0621944	0.866574
1364702956_26	-0.25818059	0.023946725	0	1R	0.827916318	TRUE	0.284941776	0.273311111	-0.844572861	0.11627	96.913	0.672727273	0.849393939	0.951616162	1.02324	0.514002	0.306195
1364605753_970	-0.019864211	0.016806242	0	1R	0.875160338	TRUE	0.218509442	0.2262	-1.009479117	0.055137	86.748	0.083232323	0.743939394	0.670606061	0.527102	0.22321	0.598123
1364565772_462	-0.160716286	0.023796371	0	1R	0.34442628	TRUE	0.451593635	0.451258642	-1.160609952	0.07706	89.602	0.207272727	0.572222222	0.810606061	0.566001	0.243065	0.571393
1364528523_656	0.300348516	0.037551525	0	1R	0.518597277	TRUE	0.499308283	0.498911111	-1.043006042	0.03005	90.467	0.254444444	0.717272727	0.468787879	0.0167905	0.00585724	0.986604
1364583910_668	-0.176526517	0.025183163	0	1R	0.41944212	TRUE	0.487020856	0.48940679	-1.206593808	0.017127	90.957	0.285454545	0.483737374	0.361616162	0.47427	0.197016	0.635308
1364562299_222	0.322520465	0.053621519	0	1R	0.79413563	TRUE	0.326968462	0.321330864	-1.311188777	-0.019759	88.31	0.140909091	0.200606061	0.141111111	0.912864	0.442115	0.361314
1364509647_994	-0.026178235	0.029097716	0	1R	0.355343343	TRUE	0.458148903	0.459545679	-1.259961178	0.015506	94.466	0.523131313	0.355757576	0.348989899	0.120729	0.043877	0.903905
1364607380_319	-0.528120196	0.081875581	0	1R	0.159282298	TRUE	0.267822895	0.296619753	-1.296055522	0.11858	103.14	0.894242424	0.246666667	0.956161616	0.964732	0.475372	0.334679
1364531630_761	-0.079535958	0.053850848	0	1R	0.070294879	TRUE	0.130707018	0.14345679	-1.413300198	0.044878	83.696	0.01979798	0.010505051	0.59010101	1.14056	0.595075	0.254053
1364584349_864	-0.412528259	0.044999236	0	1R	0.867894322	TRUE	0.229307535	0.20355	-1.406603158	-0.028053	95.478	0.585555556	0.013737374	0.107474747	0.0549296	0.0194537	0.956195
1364584710_533	0.059213899	0.035076112	0	1R	0.166274253	TRUE	0.277254252	0.27925679	-1.305675648	0.00011446	89.742	0.214040404	0.217676768	0.246969697	0.759044	0.34889	0.447826
1364643215_947	0.331573275	0.022294827	0	1R	0.266079988	TRUE	0.390562856	0.36995	-0.992978074	0.058953	90.071	0.23040404	0.759191919	0.698686869	0.156057	0.0575016	0.875988
1364593969_929	-0.05092214	0.026471526	0	1R	0.829849421	TRUE	0.28239872	0.28802716	-1.25834425	0.034567	85.183	0.040707071	0.36010101	0.505454545	0.244262	0.0931114	0.807028
1364501312_476	-0.440588715	0.02292124	0	1R	0.445058535	TRUE	0.493962871	0.493064198	-1.258131737	0.060726	89.639	0.20969697	0.360909091	0.70969697	0.61998	0.271426	0.535271
1364522518_942	0.061229326	0.05948303	0	1R	0.167175833	TRUE	0.278456148	0.251095679	-1.330506462	0.078124	86.711	0.081818182	0.144545455	0.816464646	0.626468	0.274899	0.531008
1364523613_575	-0.447888565	0.108346953	0	1R	0.627932998	TRUE	0.467266296	0.466488272	-1.030919724	-0.027893	98.225	0.735555556	0.727373737	0.108282828	1.03437	0.521487	0.300963
1364552545_855	0.172049365	0.027256594	0	1R	0.581479186	TRUE	0.486722284	0.4838	-1.022820747	0.060294	89.121	0.18030303	0.734747475	0.706767677	1.25118	0.675987	0.210869
1364593716_330	-0.170737646	0.113796496	0	1R	0.874390841	TRUE	0.219662996	0.220414198	-1.365230611	0.003887	97.895	0.721111111	0.064343434	0.271717172	0.962621	0.474	0.335738
1364522570_847	-0.201332808	0.040425724	0	1R	0.811731864	TRUE	0.30564649	0.285851235	-1.205574697	-0.033361	92.472	0.385858586	0.486262626	0.09	1.2053	0.641897	0.228088
1364550006_6	-0.096408289	0.027474287	0	1R	0.833311327	TRUE	0.277807119	0.271061111	-1.19187684	0.016388	91.81	0.34040404	0.517272727	0.356262626	0.869576	0.415068	0.384532
1364532257_347	-0.421100627	0.045814759	0	1R	0.859334177	TRUE	0.241757898	0.1958	-1.25127719	0.041013	89.152	0.181717172	0.38010101	0.558888889	0.435092	0.178162	0.663496
1364558896_954	-0.048953083	0.061323809	0	1R	0.15942473	TRUE	0.268016971	0.24795	-1.261909472	0.04363	84.787	0.033434343	0.350707071	0.579292929	0.127551	0.04648	0.898504
1364579788_345	0.08239801	0.042817204	0	1R	0.077973243	TRUE	0.143786833	0.157391975	-1.391142489	0.04284	89.444	0.197474747	0.027676768	0.573333333	0.399409	0.161408	0.689592
1364708016_555	0.094788915	0.078591707	0	1R	0.647119226	TRUE	0.456711867	0.466775309	-1.133440943	-0.035968	101.04	0.845959596	0.60959596	0.082020202	0.57815	0.249366	0.563163
1364679458_54	-0.088339802	0.026514114	0	1R	0.639090904	TRUE	0.461307441	0.464740123	-1.243911859	0.067676	91.175	0.298787879	0.398585859	0.758282828	0.372323	0.148954	0.709653
1364593403_560	-0.156617382	0.058803715	0	1R	0.582433306	TRUE	0.4864095	0.490661111	-1.360364123	0.064958	102.23	0.875454545	0.071717172	0.740707071	0.941518	0.460373	0.346439
1364646710_558	-0.044486559	0.037650427	0	1R	0.308740955	TRUE	0.426839956	0.421767901	-0.665888189	0.10013	94.881	0.547474747	0.913232323	0.90969697	0.251207	0.0960131	0.801654
1364582444_726	-0.190924099	0.047924024	0	1R	0.200702227	TRUE	0.320841687	0.31462716	-1.046254801	0.097472	93.096	0.431313131	0.714444444	0.9	0.799452	0.372605	0.424028
1364579045_550	-0.128236905	0.051321898	0	1R	0.813491903	TRUE	0.303445654	0.297327778	-1.235786494	0.045852	99.619	0.793434343	0.422424242	0.597777778	0.742712	0.339461	0.457656
1364592802_266	0.011840333	0.036326848	0	1R	0.622193382	TRUE	0.470137555	0.473293827	-1.074940719	0.068804	98.255	0.737373737	0.685656566	0.765151515	0.263762	0.101295	0.791963
1364540631_688	0.429209698	0.060538532	0	1R	0.422205142	TRUE	0.48789592	0.490043827	-0.1340082	0.075456	100.66	0.833030303	0.980808081	0.802222222	0.824196	0.387398	0.409828
1364571296_513	0.172874113	0.073140955	0	1R	0.463370146	TRUE	0.497316508	0.494661111	-0.893129456	0.055968	105.32	0.933636364	0.824444444	0.676666667	0.055724	0.0197413	0.955562
1364526249_65	0.383675331	0.07252811	0	1R	0.732242174	TRUE	0.392127146	0.411332716	-1.156760991	0.0089835	101.73	0.863434343	0.576868687	0.303333333	0.429843	0.175673	0.667309
1364626954_753	0.299762454	0.045816266	0	1R	0.466093869	TRUE	0.497700749	0.497145679	-0.924964274	0.077868	92.189	0.366262626	0.805959596	0.815252525	0.975078	0.482116	0.329521
1364670950_859	0.294393853	0.058197916	0	1R	0.924741586	TRUE	0.139189171	0.132108642	-1.398026876	-0.041145	88.599	0.153434343	0.019494949	0.069191919	0.777842	0.359854	0.436662
1364602991_878	0.033961779	0.090032932	0	1R	0.237566648	TRUE	0.362257471	0.351790123	-1.196310776	0.020451	95.867	0.61	0.507979798	0.39030303	0.0606298	0.0215209	0.951654
1364584761_874	0.214921475	0.080725033	0	1R	0.424535654	TRUE	0.488610265	0.489244444	0.407407902	0.11718	103.04	0.891515152	0.995757576	0.953434343	0.710539	0.321145	0.47737
1364530516_24	-0.050556786	0.073530006	0	1R	0.374566591	TRUE	0.46853292	0.467911111	-1.190554766	0.035435	103.21	0.896060606	0.52010101	0.513636364	0.550194	0.234938	0.582186
1364635146_329	0.219041193	0.059274604	0	1R	0.178879924	TRUE	0.293763794	0.277777778	-1.176845414	-0.028785	93.064	0.429191919	0.545454545	0.104040404	0.260146	0.0997687	0.794751
1364595959_761	-0.016884923	0.032520714	0	1R	0.128862881	TRUE	0.224514477	0.243194444	-1.391902054	-0.021806	86.864	0.086666667	0.026262626	0.131515152	0.28483	0.110265	0.775774
1364534142_961	0.055254243	0.070414097	0	1R	0.515112583	TRUE	0.49954322	0.499895679	-1.358982238	-0.0034166	97.95	0.723939394	0.074848485	0.225252525	0.55177	0.235744	0.581106
1364547922_629	-0.13190114	0.031516013	0	1R	0.764695953	TRUE	0.359872105	0.367673457	-1.279055541	-0.013438	90.663	0.264747475	0.300909091	0.168888889	0.06183	0.0219573	0.950698
1364531133_715	-0.407112406	0.048314711	0	1R	0.242235454	TRUE	0.367114877	0.370516049	-1.297448843	0.031262	99.688	0.795454545	0.241515152	0.478686869	1.31105	0.721611	0.18984
1364515954_281	-0.156708266	0.04732353	0	1R	0.435723161	TRUE	0.491736976	0.486479012	-1.220930464	0.062615	95.049	0.557272727	0.451818182	0.722020202	0.199265	0.0746593	0.842056
1364627123_259	-0.366348119	0.072098495	0	1R	0.121044648	TRUE	0.212785683	0.246369753	0.225128288	0.13611	101.81	0.865050505	0.992222222	0.978686869	0.400764	0.162037	0.688594
1364557543_16	-0.349236509	0.138014867	0	1R	0.410817709	TRUE	0.484093038	0.478182716	-1.325322532	0.027823	116.97	0.996666667	0.160909091	0.450707071	1.52573	0.895934	0.127077
1364530086_326	-0.031038805	0.039068669	0	1R	0.815598837	TRUE	0.300794748	0.286577778	-1.210976614	-0.079559	90.207	0.238282828	0.473838384	0.015252525	1.02873	0.517692	0.303605
1364583219_626	0.307738318	0.119671568	0	1R	0.287108801	TRUE	0.409354675	0.406591975	-1.242619157	-0.012227	108.8	0.969191919	0.402525253	0.174343434	0.765638	0.352723	0.443892
1364668372_136	0.342195687	0.042586226	0	1R	0.450574047	TRUE	0.49511415	0.496434568	-1.114011542	0.055006	94.242	0.508080808	0.638888889	0.669393939	0.0692035	0.0246474	0.944828
1364684348_983	-0.426608683	0.040580053	0	1R	0.520399811	TRUE	0.499167695	0.499516049	-1.175431633	0.001217	86.677	0.080808081	0.548282828	0.252626263	1.34356	0.746925	0.179091
1364521950_463	0.244499332	0.02763845	0	1R	0.557693445	TRUE	0.493342933	0.495849383	-0.482210488	0.12442	94.654	0.534545455	0.95040404	0.965151515	1.34236	0.745987	0.179479
1364573702_35	0.328001348	0.075204378	0	1R	0.853075333	TRUE	0.250675618	0.276293827	-0.6767479	0.086445	92.499	0.387474747	0.910505051	0.859090909	1.10325	0.568765	0.26992
1364620386_316	-0.284727737	0.082568077	0	1R	0.614700895	TRUE	0.47368741	0.47225679	-1.274930016	0.029414	102.38	0.878787879	0.310808081	0.463434343	1.46376	0.843879	0.143259
1364513205_984	-0.135640501	0.020332418	0	1R	0.607795666	TRUE	0.476760189	0.473804938	-1.324496615	0.01857	89.151	0.181616162	0.162727273	0.372828283	0.196546	0.0735635	0.844183
1364531490_885	-0.027729476	0.02641552	0	1R	0.090697933	TRUE	0.164943635	0.171049383	-1.343748432	0.031818	92.074	0.357070707	0.106666667	0.483131313	0.0301176	0.0105621	0.975973
1364611165_773	0.01255459	0.091471511	0	1R	0.834376945	TRUE	0.276384118	0.297327778	-1.174593358	0.086285	92.261	0.370707071	0.549494949	0.858181818	0.690814	0.310085	0.489683
1364512890_818	0.257318138	0.103825188	0	1R	0.444607244	TRUE	0.493863285	0.48988642	-0.176604029	0.10697	97.343	0.693131313	0.978585859	0.93030303	0.739397	0.337558	0.459666
1364547782_844	-0.282877949	0.058066297	0	1R	0.612494085	TRUE	0.474690162	0.462340123	-1.265592252	-0.013592	99.989	0.807777778	0.338585859	0.167676768	0.258641	0.0991348	0.795912
1364568283_94	0.106883769	0.032937289	0	1R	0.139623499	TRUE	0.240257555	0.231925309	-1.375841711	0.047153	92.382	0.37959596	0.047676768	0.608383838	0.118854	0.0431639	0.905391
1364532426_277	-0.037873884	0.064091387	0	1R	0.30147206	TRUE	0.421173314	0.420443827	-1.250387345	-0.017095	107.76	0.961212121	0.382121212	0.151212121	0.0436103	0.0153759	0.965215
1364645834_806	-0.007753444	0.108997484	0	1R	0.420963326	TRUE	0.487506408	0.491693827	-1.135364344	-0.045378	109.3	0.972929293	0.607676768	0.06020202	0.571804	0.246069	0.567455
1364658296_917	-0.013742595	0.049197581	0	1R	0.619778884	TRUE	0.471306038	0.480879012	-1.120806602	0.095514	98.719	0.756262626	0.628787879	0.893737374	0.215464	0.0812331	0.829405
1364542655_938	0.310003171	0.036660722	0	1R	0.944036289	TRUE	0.105663547	0.093999383	-1.248020737	0.024882	90.375	0.249191919	0.389393939	0.425252525	0.150134	0.0551923	0.880659
1364611932_280	-0.414252184	0.054294475	0	1R	0.271633268	TRUE	0.395697271	0.412730864	-1.114565273	0.074093	96.276	0.637171717	0.637777778	0.794747475	0.344915	0.136583	0.730158
1364565490_87	-0.233985837	0.03989152	0	1R	0.490401668	TRUE	0.499815744	0.499925309	-1.346025727	-0.00036201	90.75	0.271313131	0.103434343	0.242828283	0.611099	0.266695	0.541134
1364511318_893	0.124041352	0.02227565	0	1R	0.673920313	TRUE	0.43950345	0.43875	-0.892179733	0.070823	95.124	0.563333333	0.824848485	0.776767677	0.161349	0.0595738	0.871819
1364538820_708	-0.296145961	0.037898536	0	1R	0.914591866	TRUE	0.15622717	0.157391975	-1.346932275	-0.016625	85.844	0.057373737	0.100505051	0.153636364	0.0149545	0.00521297	0.988068
1364581065_698	0.501018158	0.050487002	0	1R	0.368976385	TRUE	0.465665624	0.466775309	-1.251928317	-0.0028446	101.44	0.856060606	0.378383838	0.227979798	0.312002	0.12203	0.755039
1364638352_147	-0.583613173	0.044085217	0	1R	0.267075168	TRUE	0.391492045	0.424382716	-0.941536014	-0.035857	93.666	0.469191919	0.795050505	0.082424242	2.62731	2.06519	0.00860624
1364564592_504	0.567474497	0.073981487	0	1R	0.574670139	TRUE	0.488848741	0.491258642	-1.302666021	-0.00021384	99.062	0.77020202	0.227575758	0.244343434	0.234767	0.0891676	0.81439
1364602702_488	-0.196649782	0.023041982	0	1R	0.884150709	TRUE	0.204856466	0.216244444	-1.314903466	-0.053893	85.214	0.041515152	0.18989899	0.043636364	0.927279	0.451265	0.353781
1364607449_566	-0.444106084	0.096567847	0	1R	0.11087339	TRUE	0.197160963	0.19925679	-1.325782054	0.0068042	94.583	0.530505051	0.15969697	0.288989899	2.25084	1.61269	0.0243956
1364572035_521	-0.002354346	0.062923969	0	1R	0.863128263	TRUE	0.236275729	0.22537716	-0.874096032	0.07765	86.713	0.081919192	0.836666667	0.813535354	0.392188	0.158066	0.694919
1364589042_464	-0.10299023	0.045632384	0	1R	0.390341062	TRUE	0.475949835	0.484590123	-0.997574735	0.034064	93.999	0.490606061	0.755555556	0.500808081	0.342374	0.135448	0.732069
1364513471_264	-0.276263033	0.079346381	0	1R	0.490794661	TRUE	0.499830523	0.499061111	-0.814911357	-0.021389	116.07	0.995252525	0.862121212	0.133535354	2.28702	1.65375	0.0221948
1364562437_823	-0.03377562	0.093170781	0	1R	0.758570944	TRUE	0.366282134	0.354799383	-1.290407831	0.0097208	99.551	0.79040404	0.263838384	0.308585859	0.222966	0.0843037	0.823562
1364599794_294	0.169192625	0.035032163	0	1R	0.923820593	TRUE	0.14075221	0.134962346	-1.125396435	0.073642	87.197	0.098888889	0.621616162	0.792424242	0.481941	0.200765	0.629848
1364588945_238	0.246977105	0.027603445	0	1R	0.895904093	TRUE	0.186519899	0.185311111	-0.844330018	0.054236	91.729	0.336767677	0.849494949	0.664141414	1.58086	0.943435	0.113911
1364572751_83	0.125383531	0.041401182	0	1R	0.59334424	TRUE	0.482573706	0.486661111	-1.165356801	-0.052777	91.52	0.321717172	0.564949495	0.045959596	0.9616	0.473337	0.33625
1364511815_156	-0.196171916	0.069896153	0	1R	0.173223375	TRUE	0.286434075	0.290911111	-1.129795143	0.081637	88.973	0.172222222	0.615252525	0.835353535	0.425276	0.173514	0.670635
1364619329_324	0.005405903	0.029384188	0	1R	0.551849205	TRUE	0.49462332	0.497923457	-1.024986602	0.034389	90.715	0.269191919	0.733333333	0.503939394	0.0115976	0.00403737	0.990747
1364512233_729	-0.385418882	0.026151423	0	1R	0.080833391	TRUE	0.148598708	0.13875	-1.077331621	0.12472	91.722	0.336161616	0.682727273	0.965353535	0.120182	0.0436686	0.904339
1364617096_611	0.115455489	0.04163044	0	1R	0.402227591	TRUE	0.480881112	0.483397531	-1.18336768	0.025649	91.102	0.294242424	0.533333333	0.431111111	0.085447	0.0306279	0.931906
1364583355_348	-0.021854351	0.023938566	0	1R	0.835447308	TRUE	0.274950207	0.277777778	-1.36585538	0.022484	92.209	0.367979798	0.063232323	0.406262626	0.285377	0.110499	0.775355
1364526919_831	0.248094333	0.104073676	0	1R	0.473118937	TRUE	0.498554817	0.4982	-0.465123915	0.050513	106.75	0.951212121	0.953131313	0.634848485	2.03512	1.37842	0.0418386
1364595660_501	-0.202222558	0.08099957	0	1R	0.703226595	TRUE	0.417397902	0.396740123	-1.284581677	0.028561	101.41	0.855454545	0.284040404	0.457171717	0.986437	0.489564	0.323919
